hour_of_year,timestamp,date,month,weekday,weekday_number,hour,equivalent_day,dtu_profile_value,load_mw,energy_mwh,cumulative_energy_mwh,source_method
1930,2023-03-22 09:00:00,2023-03-22,3,Wednesday,3,9,17,93.28982599999999,39.385772404572165,39.385772404572165,63310.072803982875,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1931,2023-03-22 10:00:00,2023-03-22,3,Wednesday,3,10,17,94.24176299999999,39.78766804135352,39.78766804135352,63349.86047202423,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1932,2023-03-22 11:00:00,2023-03-22,3,Wednesday,3,11,17,93.28982599999999,39.385772404572165,39.385772404572165,63389.2462444288,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1933,2023-03-22 12:00:00,2023-03-22,3,Wednesday,3,12,17,91.38595199999999,38.58198113100947,38.58198113100947,63427.82822555981,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1934,2023-03-22 13:00:00,2023-03-22,3,Wednesday,3,13,17,87.57820399999999,36.974398583884074,36.974398583884074,63464.8026241437,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1935,2023-03-22 14:00:00,2023-03-22,3,Wednesday,3,14,17,84.722393,35.76871167354003,35.76871167354003,63500.571335817236,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1936,2023-03-22 15:00:00,2023-03-22,3,Wednesday,3,15,17,82.818519,34.96492039997734,34.96492039997734,63535.536256217216,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1937,2023-03-22 16:00:00,2023-03-22,3,Wednesday,3,16,17,85.67433,36.17060731032138,36.17060731032138,63571.706863527535,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1938,2023-03-22 17:00:00,2023-03-22,3,Wednesday,3,17,17,90.43401499999999,38.18008549422812,38.18008549422812,63609.88694902176,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1939,2023-03-22 18:00:00,2023-03-22,3,Wednesday,3,18,17,94.24176299999999,39.78766804135352,39.78766804135352,63649.674617063116,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1940,2023-03-22 19:00:00,2023-03-22,3,Wednesday,3,19,17,95.19369999999999,40.18956367813487,40.18956367813487,63689.86418074125,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1941,2023-03-22 20:00:00,2023-03-22,3,Wednesday,3,20,17,94.24176299999999,39.78766804135352,39.78766804135352,63729.6518487826,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1942,2023-03-22 21:00:00,2023-03-22,3,Wednesday,3,21,17,92.33788899999999,38.98387676779082,38.98387676779082,63768.6357255504,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1943,2023-03-22 22:00:00,2023-03-22,3,Wednesday,3,22,17,85.67433,36.17060731032138,36.17060731032138,63804.80633286072,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1944,2023-03-22 23:00:00,2023-03-22,3,Wednesday,3,23,17,88.53014099999999,37.37629422066542,37.37629422066542,63842.18262708138,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1945,2023-03-23 00:00:00,2023-03-23,3,Thursday,4,0,18,85.63449999999999,36.153791593301236,36.153791593301236,63878.336418674684,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1946,2023-03-23 01:00:00,2023-03-23,3,Thursday,4,1,18,85.63449999999999,36.153791593301236,36.153791593301236,63914.490210267984,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1947,2023-03-23 02:00:00,2023-03-23,3,Thursday,4,2,18,83.64299999999999,35.31300574229423,35.31300574229423,63949.80321601028,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1948,2023-03-23 03:00:00,2023-03-23,3,Thursday,4,3,18,82.64724999999999,34.892612816790724,34.892612816790724,63984.69582882707,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1949,2023-03-23 04:00:00,2023-03-23,3,Thursday,4,4,18,83.64299999999999,35.31300574229423,35.31300574229423,64020.008834569366,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1950,2023-03-23 05:00:00,2023-03-23,3,Thursday,4,5,18,83.64299999999999,35.31300574229423,35.31300574229423,64055.32184031166,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1951,2023-03-23 06:00:00,2023-03-23,3,Thursday,4,6,18,86.63024999999999,36.574184518804735,36.574184518804735,64091.896024830465,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1952,2023-03-23 07:00:00,2023-03-23,3,Thursday,4,7,18,89.61749999999999,37.83536329531525,37.83536329531525,64129.73138812578,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1953,2023-03-23 08:00:00,2023-03-23,3,Thursday,4,8,18,94.59624999999998,39.93732792283276,39.93732792283276,64169.66871604861,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1954,2023-03-23 09:00:00,2023-03-23,3,Thursday,4,9,18,97.58349999999997,41.19850669934326,41.19850669934326,64210.867222747955,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1955,2023-03-23 10:00:00,2023-03-23,3,Thursday,4,10,18,98.57924999999997,41.61889962484676,41.61889962484676,64252.4861223728,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1956,2023-03-23 11:00:00,2023-03-23,3,Thursday,4,11,18,97.58349999999997,41.19850669934326,41.19850669934326,64293.684629072144,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1957,2023-03-23 12:00:00,2023-03-23,3,Thursday,4,12,18,95.59199999999997,40.35772084833626,40.35772084833626,64334.04234992048,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1958,2023-03-23 13:00:00,2023-03-23,3,Thursday,4,13,18,91.609,38.67614914632225,38.67614914632225,64372.7184990668,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1959,2023-03-23 14:00:00,2023-03-23,3,Thursday,4,14,18,88.62174999999999,37.41497036981174,37.41497036981174,64410.133469436616,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1960,2023-03-23 15:00:00,2023-03-23,3,Thursday,4,15,18,86.63024999999999,36.574184518804735,36.574184518804735,64446.70765395542,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1961,2023-03-23 16:00:00,2023-03-23,3,Thursday,4,16,18,89.61749999999999,37.83536329531525,37.83536329531525,64484.54301725073,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1962,2023-03-23 17:00:00,2023-03-23,3,Thursday,4,17,18,94.59624999999998,39.93732792283276,39.93732792283276,64524.480345173564,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1963,2023-03-23 18:00:00,2023-03-23,3,Thursday,4,18,18,98.57924999999997,41.61889962484676,41.61889962484676,64566.09924479841,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1964,2023-03-23 19:00:00,2023-03-23,3,Thursday,4,19,18,99.57499999999997,42.03929255035027,42.03929255035027,64608.13853734876,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1965,2023-03-23 20:00:00,2023-03-23,3,Thursday,4,20,18,98.57924999999997,41.61889962484676,41.61889962484676,64649.7574369736,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1966,2023-03-23 21:00:00,2023-03-23,3,Thursday,4,21,18,96.58774999999997,40.778113773839756,40.778113773839756,64690.535550747445,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1967,2023-03-23 22:00:00,2023-03-23,3,Thursday,4,22,18,89.61749999999999,37.83536329531525,37.83536329531525,64728.37091404276,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1968,2023-03-23 23:00:00,2023-03-23,3,Thursday,4,23,18,92.60474999999998,39.09654207182575,39.09654207182575,64767.46745611459,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1969,2023-03-24 00:00:00,2023-03-24,3,Friday,5,0,19,83.49363749999999,35.24994680346871,35.24994680346871,64802.71740291805,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1970,2023-03-24 01:00:00,2023-03-24,3,Friday,5,1,19,83.49363749999999,35.24994680346871,35.24994680346871,64837.96734972152,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1971,2023-03-24 02:00:00,2023-03-24,3,Friday,5,2,19,81.55192499999998,34.430180598736875,34.430180598736875,64872.39753032025,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1972,2023-03-24 03:00:00,2023-03-24,3,Friday,5,3,19,80.58106874999999,34.02029749637096,34.02029749637096,64906.41782781662,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1973,2023-03-24 04:00:00,2023-03-24,3,Friday,5,4,19,81.55192499999998,34.430180598736875,34.430180598736875,64940.848008415356,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1974,2023-03-24 05:00:00,2023-03-24,3,Friday,5,5,19,81.55192499999998,34.430180598736875,34.430180598736875,64975.27818901409,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1975,2023-03-24 06:00:00,2023-03-24,3,Friday,5,6,19,84.46449374999999,35.65982990583461,35.65982990583461,65010.93801891992,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1976,2023-03-24 07:00:00,2023-03-24,3,Friday,5,7,19,87.3770625,36.889479212932365,36.889479212932365,65047.82749813286,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1977,2023-03-24 08:00:00,2023-03-24,3,Friday,5,8,19,92.23134375,38.938894724761944,38.938894724761944,65086.76639285762,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1978,2023-03-24 09:00:00,2023-03-24,3,Friday,5,9,19,95.14391249999997,40.16854403185968,40.16854403185968,65126.934936889484,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1979,2023-03-24 10:00:00,2023-03-24,3,Friday,5,10,19,96.11476874999998,40.5784271342256,40.5784271342256,65167.51336402371,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1980,2023-03-24 11:00:00,2023-03-24,3,Friday,5,11,19,95.14391249999997,40.16854403185968,40.16854403185968,65207.68190805557,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1981,2023-03-24 12:00:00,2023-03-24,3,Friday,5,12,19,93.20219999999998,39.348777827127854,39.348777827127854,65247.0306858827,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1982,2023-03-24 13:00:00,2023-03-24,3,Friday,5,13,19,89.31877499999999,37.70924541766419,37.70924541766419,65284.73993130037,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1983,2023-03-24 14:00:00,2023-03-24,3,Friday,5,14,19,86.40620624999998,36.47959611056645,36.47959611056645,65321.21952741093,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1984,2023-03-24 15:00:00,2023-03-24,3,Friday,5,15,19,84.46449374999999,35.65982990583461,35.65982990583461,65356.879357316764,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1985,2023-03-24 16:00:00,2023-03-24,3,Friday,5,16,19,87.3770625,36.889479212932365,36.889479212932365,65393.7688365297,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1986,2023-03-24 17:00:00,2023-03-24,3,Friday,5,17,19,92.23134375,38.938894724761944,38.938894724761944,65432.707731254464,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1987,2023-03-24 18:00:00,2023-03-24,3,Friday,5,18,19,96.11476874999998,40.5784271342256,40.5784271342256,65473.28615838869,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1988,2023-03-24 19:00:00,2023-03-24,3,Friday,5,19,19,97.08562499999998,40.98831023659151,40.98831023659151,65514.274468625284,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1989,2023-03-24 20:00:00,2023-03-24,3,Friday,5,20,19,96.11476874999998,40.5784271342256,40.5784271342256,65554.85289575951,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1990,2023-03-24 21:00:00,2023-03-24,3,Friday,5,21,19,94.17305624999997,39.75866092949377,39.75866092949377,65594.61155668901,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1991,2023-03-24 22:00:00,2023-03-24,3,Friday,5,22,19,87.3770625,36.889479212932365,36.889479212932365,65631.50103590194,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1992,2023-03-24 23:00:00,2023-03-24,3,Friday,5,23,19,90.28963124999999,38.11912852003011,38.11912852003011,65669.62016442197,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1993,2023-03-25 00:00:00,2023-03-25,3,Saturday,6,0,20,60.111993619999986,25.378515546833732,25.378515546833732,65694.9986799688,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1994,2023-03-25 01:00:00,2023-03-25,3,Saturday,6,1,20,60.111993619999986,25.378515546833732,25.378515546833732,65720.37719551564,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1995,2023-03-25 02:00:00,2023-03-25,3,Saturday,6,2,20,58.71404027999999,24.788317510860857,24.788317510860857,65745.1655130265,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1996,2023-03-25 03:00:00,2023-03-25,3,Saturday,6,3,20,58.01506360999999,24.49321849287442,24.49321849287442,65769.65873151938,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1997,2023-03-25 04:00:00,2023-03-25,3,Saturday,6,4,20,58.71404027999999,24.788317510860857,24.788317510860857,65794.44704903023,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1998,2023-03-25 05:00:00,2023-03-25,3,Saturday,6,5,20,58.71404027999999,24.788317510860857,24.788317510860857,65819.23536654109,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
1999,2023-03-25 06:00:00,2023-03-25,3,Saturday,6,6,20,60.81097028999999,25.673614564820177,25.673614564820177,65844.90898110591,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2000,2023-03-25 07:00:00,2023-03-25,3,Saturday,6,7,20,62.90790029999998,26.558911618779486,26.558911618779486,65871.46789272469,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2001,2023-03-25 08:00:00,2023-03-25,3,Saturday,6,8,20,66.40278364999999,28.034406708711685,28.034406708711685,65899.5022994334,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2002,2023-03-25 09:00:00,2023-03-25,3,Saturday,6,9,20,68.49971366,28.919703762671006,28.919703762671006,65928.42200319607,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2003,2023-03-25 10:00:00,2023-03-25,3,Saturday,6,10,20,69.19869032999999,29.21480278065744,29.21480278065744,65957.63680597673,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2004,2023-03-25 11:00:00,2023-03-25,3,Saturday,6,11,20,68.49971366,28.919703762671006,28.919703762671006,65986.5565097394,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2005,2023-03-25 12:00:00,2023-03-25,3,Saturday,6,12,20,67.10176031999998,28.32950572669812,28.32950572669812,66014.8860154661,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2006,2023-03-25 13:00:00,2023-03-25,3,Saturday,6,13,20,64.30585363999998,27.149109654752362,27.149109654752362,66042.03512512085,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2007,2023-03-25 14:00:00,2023-03-25,3,Saturday,6,14,20,62.20892363,26.263812600793056,26.263812600793056,66068.29893772164,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2008,2023-03-25 15:00:00,2023-03-25,3,Saturday,6,15,20,60.81097028999999,25.673614564820177,25.673614564820177,66093.97255228646,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2009,2023-03-25 16:00:00,2023-03-25,3,Saturday,6,16,20,62.90790029999998,26.558911618779486,26.558911618779486,66120.53146390524,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2010,2023-03-25 17:00:00,2023-03-25,3,Saturday,6,17,20,66.40278364999999,28.034406708711685,28.034406708711685,66148.56587061395,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2011,2023-03-25 18:00:00,2023-03-25,3,Saturday,6,18,20,69.19869032999999,29.21480278065744,29.21480278065744,66177.7806733946,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2012,2023-03-25 19:00:00,2023-03-25,3,Saturday,6,19,20,69.89766699999998,29.509901798643874,29.509901798643874,66207.29057519326,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2013,2023-03-25 20:00:00,2023-03-25,3,Saturday,6,20,20,69.19869032999999,29.21480278065744,29.21480278065744,66236.50537797391,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2014,2023-03-25 21:00:00,2023-03-25,3,Saturday,6,21,20,67.80073698999999,28.62460474468456,28.62460474468456,66265.1299827186,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2015,2023-03-25 22:00:00,2023-03-25,3,Saturday,6,22,20,62.90790029999998,26.558911618779486,26.558911618779486,66291.68889433738,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2016,2023-03-25 23:00:00,2023-03-25,3,Saturday,6,23,20,65.00483030999999,27.444208672738807,27.444208672738807,66319.13310301011,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2017,2023-03-26 00:00:00,2023-03-26,3,Sunday,7,0,21,58.221183860000004,24.58023982845365,24.58023982845365,66343.71334283857,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2018,2023-03-26 01:00:00,2023-03-26,3,Sunday,7,1,21,58.221183860000004,24.58023982845365,24.58023982845365,66368.29358266703,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2019,2023-03-26 02:00:00,2023-03-26,3,Sunday,7,2,21,56.86720284,24.008606344071,24.008606344071,66392.3021890111,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2020,2023-03-26 03:00:00,2023-03-26,3,Sunday,7,3,21,56.190212329999994,23.72278960187968,23.72278960187968,66416.02497861297,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2021,2023-03-26 04:00:00,2023-03-26,3,Sunday,7,4,21,56.86720284,24.008606344071,24.008606344071,66440.03358495704,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2022,2023-03-26 05:00:00,2023-03-26,3,Sunday,7,5,21,56.86720284,24.008606344071,24.008606344071,66464.04219130111,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2023,2023-03-26 06:00:00,2023-03-26,3,Sunday,7,6,21,58.89817437,24.866056570644968,24.866056570644968,66488.90824787175,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2024,2023-03-26 07:00:00,2023-03-26,3,Sunday,7,7,21,60.929145899999995,25.72350679721893,25.72350679721893,66514.63175466897,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2025,2023-03-26 08:00:00,2023-03-26,3,Sunday,7,8,21,64.31409845,27.152590508175543,27.152590508175543,66541.78434517715,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2026,2023-03-26 09:00:00,2023-03-26,3,Sunday,7,9,21,66.34506998,28.010040734749506,28.010040734749506,66569.7943859119,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2027,2023-03-26 10:00:00,2023-03-26,3,Sunday,7,10,21,67.02206048999999,28.295857476940824,28.295857476940824,66598.09024338884,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2028,2023-03-26 11:00:00,2023-03-26,3,Sunday,7,11,21,66.34506998,28.010040734749506,28.010040734749506,66626.10028412359,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2029,2023-03-26 12:00:00,2023-03-26,3,Sunday,7,12,21,64.99108896,27.43840725036686,27.43840725036686,66653.53869137395,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2030,2023-03-26 13:00:00,2023-03-26,3,Sunday,7,13,21,62.28312692,26.295140281601576,26.295140281601576,66679.83383165555,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2031,2023-03-26 14:00:00,2023-03-26,3,Sunday,7,14,21,60.252155390000006,25.437690055027613,25.437690055027613,66705.27152171057,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2032,2023-03-26 15:00:00,2023-03-26,3,Sunday,7,15,21,58.89817437,24.866056570644968,24.866056570644968,66730.13757828121,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2033,2023-03-26 16:00:00,2023-03-26,3,Sunday,7,16,21,60.929145899999995,25.72350679721893,25.72350679721893,66755.86108507843,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2034,2023-03-26 17:00:00,2023-03-26,3,Sunday,7,17,21,64.31409845,27.152590508175543,27.152590508175543,66783.01367558661,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2035,2023-03-26 18:00:00,2023-03-26,3,Sunday,7,18,21,67.02206048999999,28.295857476940824,28.295857476940824,66811.30953306356,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2036,2023-03-26 19:00:00,2023-03-26,3,Sunday,7,19,21,67.699051,28.581674219132147,28.581674219132147,66839.8912072827,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2037,2023-03-26 20:00:00,2023-03-26,3,Sunday,7,20,21,67.02206048999999,28.295857476940824,28.295857476940824,66868.18706475964,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2038,2023-03-26 21:00:00,2023-03-26,3,Sunday,7,21,21,65.66807947000001,27.724223992558187,27.724223992558187,66895.91128875219,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2039,2023-03-26 22:00:00,2023-03-26,3,Sunday,7,22,21,60.929145899999995,25.72350679721893,25.72350679721893,66921.63479554941,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2040,2023-03-26 23:00:00,2023-03-26,3,Sunday,7,23,21,62.96011743,26.580957023792898,26.580957023792898,66948.2157525732,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2041,2023-03-27 00:00:00,2023-03-27,3,Monday,1,0,15,80.66769899999998,34.05687168088976,34.05687168088976,66982.2726242541,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2042,2023-03-27 01:00:00,2023-03-27,3,Monday,1,1,15,80.66769899999998,34.05687168088976,34.05687168088976,67016.32949593499,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2043,2023-03-27 02:00:00,2023-03-27,3,Monday,1,2,15,78.79170599999998,33.26485140924116,33.26485140924116,67049.59434734423,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2044,2023-03-27 03:00:00,2023-03-27,3,Monday,1,3,15,77.85370949999998,32.86884127341686,32.86884127341686,67082.46318861765,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2045,2023-03-27 04:00:00,2023-03-27,3,Monday,1,4,15,78.79170599999998,33.26485140924116,33.26485140924116,67115.7280400269,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2046,2023-03-27 05:00:00,2023-03-27,3,Monday,1,5,15,78.79170599999998,33.26485140924116,33.26485140924116,67148.99289143614,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2047,2023-03-27 06:00:00,2023-03-27,3,Monday,1,6,15,81.60569549999998,34.45288181671406,34.45288181671406,67183.44577325285,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2048,2023-03-27 07:00:00,2023-03-27,3,Monday,1,7,15,84.41968499999999,35.64091222418696,35.64091222418696,67219.08668547704,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2049,2023-03-27 08:00:00,2023-03-27,3,Monday,1,8,15,89.10966749999999,37.62096290330846,37.62096290330846,67256.70764838035,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
2050,2023-03-27 09:00:00,2023-03-27,3,Monday,1,9,15,91.92365699999998,38.808993310781354,38.808993310781354,67295.51664169114,Reconstructed from DTU Santiago equivalent-week load profiles and scaled to the 2023 Santiago annual generation anchor.
